Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
275.7223,51.4859,176.156749,-7.821528,57268,8.82,1.0,10.093,8.934,0.995
165.8548,-86.7778,15.275163000000001,-24.748233,4753,8.82,,9.505,8.876,0.541
217.6035,69.2143,170.152416,23.614359,55398,8.81,,9.595,8.887,0.637
150.8167,-39.3826,35.278783000000004,18.584575,10955,8.8,,10.722999999999999,9.009,1.431
290.0599,19.1401,176.38710600000002,-42.078887,57358,8.8,,8.942,8.807,0.122
303.2905,-37.4599,11.27262,-79.663942,3536,8.8,,10.664000000000001,8.951,1.43
154.7972,-41.1623,37.230843,15.600074,11560,8.79,,9.478,8.881,0.57
344.9684,66.7947,208.358709,9.127883,67805,8.79,,10.45,8.936,1.273
23.0593,22.9236,258.09137200000004,2.1239369999999997,84163,8.79,,9.379,8.825,0.519
317.9517,74.7265,196.866178,12.323926,64038,8.79,,9.478,8.82,0.61
131.6567,45.014,173.82656200000002,70.80237,56522,8.77,,9.373,8.8,0.5720000000000001
338.9305,-52.8554,336.757445,-52.962789,110811,8.77,,10.082,8.868,1.038
257.4367,-44.6687,64.71421,-49.838898,20120,8.77,,9.969,8.891,0.9329999999999999
146.4183,-53.8182,26.558049,6.536156,8254,8.77,,9.415,8.812000000000001,0.562
308.1167,65.1682,195.036317,2.3840470000000002,63455,8.76,,9.193,8.783999999999999,0.387
328.4653,55.3114,207.108871,-4.70974,67366,8.76,,9.387,8.807,0.555
225.6551,-44.1385,64.81974,-27.271971999999998,20163,8.76,,10.618,8.892000000000001,1.44
136.0387,79.8359,189.98744399999998,36.998226,61800,8.76,,8.606,8.732999999999999,-0.12
11.8064,24.8857,251.11113799999998,-5.687283,81952,8.76,,9.638,8.818,0.74
14.8271,18.7328,257.845004,-6.631148,84083,8.76,,10.532,8.924,1.347
186.2594,-71.9791,29.763434999999998,-18.060612,9262,8.76,,10.036,8.855,1.012
211.7728,62.8391,162.769261,24.451332,53034,8.75,,9.138,8.732000000000001,0.384
313.3023,-67.1538,6.685302,-49.474108,2107,8.75,1.0,9.463,8.84,0.5760000000000001
323.2697,39.5844,209.49223899999998,-20.645405,68219,8.75,,9.074,8.791,0.3
113.8454,40.9488,218.98571600000002,74.28335600000001,71393,8.74,,9.216000000000001,8.767000000000001,0.424
179.3028,42.6189,137.08476000000002,42.17974,44855,8.74,,9.411,8.804,0.5660000000000001
4.3385,35.8441,238.41552799999997,-4.488639,77843,8.74,,9.414,8.785,0.585
248.2814,-42.2708,69.100157,-43.451021000000004,21451,8.73,,10.107999999999999,8.846,1.075
78.5574,56.7794,226.95650899999998,46.88505,74036,8.73,,9.978,8.836,0.982
0.365,41.8168,231.834409,-3.038812,75651,8.73,,9.972000000000001,8.85,0.966
111.8941,-82.0311,11.247991,-19.297886,3525,8.72,,9.368,8.775,0.569
29.5513,64.1529,221.02987000000002,22.798241,72034,8.72,,9.837,8.787,0.912
326.1311,43.3983,210.21196899999998,-16.32474,68451,8.72,,10.535,8.875,1.3880000000000001
354.8204,47.7708,224.80265099999997,-1.807551,73338,8.71,,10.011000000000001,8.807,1.03
143.1119,65.4977,180.11034899999999,49.584959999999995,58555,8.7,,9.314,8.749,0.52
265.6301,57.9237,174.085205,0.59709,56605,8.7,,10.652999999999999,8.843,1.507
9.4757,12.7744,260.18373199999996,-14.16205,84868,8.7,,10.195,8.834,1.153
121.2322,35.7423,201.981181,81.26527800000001,65672,8.7,,9.019,8.717,0.26
148.4296,47.6841,155.602762,61.398901,50810,8.69,,10.095,8.783,1.114
199.3217,73.7942,174.652466,29.756441,56794,8.69,,9.217,8.721,0.466
304.6365,-65.109,11.694180000000001,-52.003787,3653,8.69,,9.971,8.772,1.0190000000000001
164.8895,-73.4404,24.204841000000002,-14.385317,7519,8.68,,8.782,8.658999999999999,0.078
