HIP,gLon,gLat,ra,dec,vmag
60965,295.4729,46.044,187.466064,-16.515432999999998,2.94
32768,260.163,-20.8626,102.48403499999999,-50.61456,2.94
109074,59.9287,-42.066,331.44598199999996,-0.319851,2.95
26451,185.6863,-5.636,84.411191,21.142549,2.97
18543,205.1617,-44.4728,59.50736,-13.508515,2.97
47908,206.8169,48.2045,146.462804,23.774255,2.97
88635,0.919,-4.538,271.452029,-30.424090999999997,2.98
64962,311.0984,39.2641,199.730403,-23.171512,2.99
93747,46.8546,3.2455,286.352534,13.863478,2.99
87073,350.6084,-6.1264,266.896173,-40.126998,2.99
75097,108.4633,40.8372,230.182148,71.834016,3.0
10064,140.5476,-25.1985,32.385945,34.987297,3.0
108085,6.1068,-51.4724,328.482185,-37.364852,3.0
54539,165.8034,63.2305,167.415868,44.498487,3.0
82514,346.1153,3.914,252.967635,-38.04738,3.0
17358,150.2833,-5.7684,55.731262,47.787551,3.01
59316,290.5904,39.2599,182.531169,-22.619766000000002,3.02
30122,237.522,-19.4336,95.07830200000001,-30.063367,3.02
33977,235.5546,-8.228,105.75613600000001,-23.833291,3.02
23416,162.7883,1.1786,75.492226,43.823308000000004,3.03
62322,302.4493,-5.2412,191.570027,-68.10811899999999,3.04
71075,67.2621,66.1723,218.01946600000002,38.308253,3.04
100345,29.1496,-26.37,305.252815,-14.781367000000001,3.05
95947,62.1097,4.5715,292.680336,27.959681,3.05
32246,189.536,9.6291,100.983025,25.131124,3.06
50801,177.9033,56.3605,155.582252,41.499516,3.06
94376,98.6556,22.9945,288.13875,67.661541,3.07
89642,356.4335,-9.6772,274.406813,-36.761686,3.1
56561,294.4728,-1.3973,173.945353,-63.019842000000004,3.11
52943,265.0524,37.5602,162.406202,-16.193648,3.11
101772,352.5666,-37.2083,309.3918,-47.291502,3.11
43813,222.343,30.1988,133.848443,5.945563,3.11
84379,46.8245,31.4234,258.75796099999997,24.839204000000002,3.12
44127,171.5116,40.8372,134.80189099999998,48.041826,3.12
83081,332.8012,-8.2049,254.65504900000002,-55.990141,3.12
27628,241.3428,-27.0577,87.73997,-35.768309,3.12
73334,326.872,14.7537,224.790354,-42.104194,3.13
45860,190.2354,44.7228,140.263755,34.392562,3.14
46701,278.2087,-4.1078,142.805495,-57.034377,3.16
84380,60.6607,34.3422,258.76181,36.809162,3.16
31685,251.9353,-20.5371,99.440297,-43.195934,3.17
83895,96.0098,35.0403,257.196648,65.714683,3.17
92041,7.9962,-10.7743,281.41411,-26.990778000000002,3.17
46853,165.4597,45.6518,143.21431,51.6773,3.17
71908,314.3355,-4.5914,220.62674700000002,-64.975138,3.18
23767,165.3536,0.2717,76.62872,41.234474,3.18
23685,223.2464,-32.7312,76.365268,-22.371032999999997,3.19
83000,28.3654,29.5041,254.41707200000002,9.375033,3.19
22449,191.4514,-23.0658,72.460044,6.961276,3.19
116727,118.9922,15.3151,354.836871,77.632276,3.21
104732,76.7539,-12.4521,318.234109,30.226915999999996,3.21
75141,331.322,13.8163,230.34300699999997,-40.647518,3.22
106032,107.5392,14.0261,322.164988,70.560716,3.23
89962,26.8975,5.3617,275.327503,-2.898825,3.23
79882,8.5657,30.8099,244.58037099999999,-4.692511,3.23
99473,41.5796,-18.0841,302.82619,-0.8214610000000001,3.24
32607,271.9193,-24.0994,102.047718,-61.94139200000001,3.24
68895,323.0009,33.2528,211.592904,-26.682361,3.25
36377,255.7364,-11.912,112.307626,-43.301433,3.25
93194,63.3184,12.8115,284.735928,32.689557,3.25
73714,337.2226,28.6177,226.017565,-25.281965,3.25
17678,289.1297,-37.7981,56.809755,-74.238962,3.26
113136,49.5792,-60.6683,343.662552,-15.820820000000001,3.27
84970,0.4645,6.5524,260.50241,-24.999545,3.27
3092,119.8691,-31.9385,9.831982,30.861024,3.27
75458,93.971,48.6278,231.23239500000003,58.966066000000005,3.29
50099,290.1639,-11.1796,153.434241,-70.037903,3.29
24305,217.2504,-28.9066,78.23292,-16.205468,3.29
21281,263.8326,-41.4155,68.499073,-55.044975,3.3
51576,287.1801,-3.1539,158.006097,-61.68533299999999,3.3
29655,188.8533,2.5186,93.71940500000001,22.506798999999997,3.31
5165,295.5057,-70.198,16.521028,-46.718414,3.32
88048,18.1682,6.9745,269.756631,-9.773632000000001,3.32
59774,132.5671,59.4169,183.856501,57.032617,3.32
84143,344.365,-2.3033,258.038306,-43.239189,3.32
14354,149.5977,-17.009,46.294139,38.840274,3.32
93864,9.3346,-15.3684,286.73503700000003,-27.670423,3.32
19780,274.3144,-41.6535,63.606182,-62.47385799999999,3.33
54879,235.372,64.5852,168.560022,15.429570000000002,3.33
38170,241.455,0.5731,117.323563,-24.859786,3.34
41704,155.976,35.4271,127.566125,60.718168999999996,3.35
32362,200.7391,4.5024,101.322353,12.895591,3.35
25281,204.8657,-20.3916,81.119236,-2.3971459999999998,3.35
8886,129.845,1.6466,28.598856,63.670102,3.35
95501,39.6183,-6.131,291.374585,3.114775,3.36
75264,329.228,10.3228,230.670295,-44.689622,3.37
66249,325.2472,60.388,203.6733,-0.59582,3.38
43109,220.7185,28.5233,131.693794,6.4188089999999995,3.38
63090,305.5165,66.2484,193.90086599999998,3.3974699999999998,3.39
26207,195.0519,-11.9951,83.784488,9.934158,3.39
109492,103.0624,1.6653,332.71365299999997,58.201260999999995,3.39
50371,285.4816,-3.8051,154.270732,-61.332304,3.39
20894,180.3473,-22.0106,67.165587,15.870883,3.4
74395,323.7592,4.9839,228.07122900000002,-52.099247,3.41
67464,314.4139,19.8858,207.376155,-41.687709000000005,3.41
112029,78.8586,-40.662,340.365503,10.831364,3.41
6867,280.5262,-72.1678,22.091363,-43.318234000000004,3.41
18724,178.3717,-29.3756,60.170066000000006,12.490347,3.41
102422,97.8666,11.6425,311.32239599999997,61.838781999999995,3.41
86974,52.4408,25.6261,266.61469500000004,27.720676,3.42
78384,338.774,11.009,240.030534,-38.396707,3.42
8796,138.6422,-31.4049,28.27045,29.578829,3.42
102395,328.9625,-36.0087,311.23956,-66.203213,3.42
50335,210.2277,54.9549,154.172571,23.417310999999998,3.43
93805,30.2598,-5.5133,286.562243,-4.882554,3.43
50372,175.871,55.0834,154.274131,42.914365000000004,3.45
38827,266.6772,-12.3202,119.194643,-52.98236,3.46
5364,137.159,-72.5783,17.147465,-10.182264,3.46
74666,53.113,58.4314,228.875679,33.314833,3.46
3821,122.6174,-5.0538,12.276213,57.815187,3.46
12706,168.9193,-49.3819,40.825162,3.235819,3.47
49583,219.5301,50.7501,151.833135,16.762664,3.48
81833,62.2813,40.9036,250.72402200000002,38.922253999999995,3.48
90422,348.6654,-15.1844,276.743401,-45.968459,3.49
55219,190.7272,69.0811,169.61973700000001,33.094306,3.49
112623,338.3053,-56.5264,342.13874300000003,-51.316864,3.49
8102,173.1162,-73.4382,26.017012,-15.937479999999999,3.49
73555,67.6191,60.0386,225.48651,40.390566,3.49
33856,239.1689,-10.2738,105.429782,-27.934829999999998,3.49
112724,111.0654,6.1752,342.420069,66.200408,3.5
35550,195.9849,15.8851,110.03074,21.982321,3.5
32759,242.3552,-14.4944,102.460246,-32.508478000000004,3.5
112748,90.6793,-30.5578,342.50080299999996,24.601579,3.51
98337,57.9667,-5.2071,299.689281,19.492148,3.51
17378,198.0897,-45.9965,55.812091,-9.763395,3.52
47508,224.6003,42.0561,145.28763700000002,9.892308,3.52
109427,67.4163,-38.7165,332.549938,6.197865,3.52
48774,279.3462,0.1052,149.21559,-54.56779,3.52
93085,14.6099,-10.7773,284.432507,-21.106654000000002,3.52
92420,63.1876,14.7835,282.519978,33.362667,3.52
40526,214.2531,23.0477,124.128836,9.185545,3.53
20889,177.5961,-19.9238,67.154165,19.180432,3.53
56343,284.0751,28.1261,173.250481,-31.857625,3.54
86263,10.606,8.6648,264.396673,-15.398557,3.54
77516,4.5932,37.2913,237.405035,-3.4302080000000004,3.54
27288,219.3993,-20.8264,86.73892,-14.82195,3.55
69996,318.4758,14.1419,214.850925,-46.058093,3.55
89937,103.4573,28.0584,275.264094,72.732843,3.55
99240,329.7709,-32.4138,302.18170200000003,-66.182068,3.55
20042,234.6749,-45.4713,64.47359300000001,-33.798348,3.55
55282,272.0686,42.5067,169.835198,-14.778541,3.56
1562,98.9797,-70.1926,4.856977,-8.823921,3.56
